"x","y","group"
1,0.0932,"zscore transformation"
2,0.107182608695652,"zscore transformation"
3,0.0946,"zscore transformation"
4,0.100582608695652,"zscore transformation"
5,0.0956695652173913,"zscore transformation"
6,0.098695652173913,"zscore transformation"
7,0.0960173913043478,"zscore transformation"
8,0.0969304347826087,"zscore transformation"
9,0.0970260869565217,"zscore transformation"
10,0.0981304347826087,"zscore transformation"
1,0.0641826086956522,"log(x+0.1) transformation"
2,0.074104347826087,"log(x+0.1) transformation"
3,0.0596173913043478,"log(x+0.1) transformation"
4,0.0633652173913044,"log(x+0.1) transformation"
5,0.0585913043478261,"log(x+0.1) transformation"
6,0.0611913043478261,"log(x+0.1) transformation"
7,0.0590608695652174,"log(x+0.1) transformation"
8,0.0593478260869565,"log(x+0.1) transformation"
9,0.0606695652173913,"log(x+0.1) transformation"
10,0.0610521739130435,"log(x+0.1) transformation"
